VarName;VarType;VarCompartment;VarMin;VarMax
rxn02484_c0;FORWARD_FLUX;c;1.59963e-05;0.000159963
rxn02484_c0;REVERSE_FLUX;c;0;0
rxn02916_c0;FLUX;c;0;0
rxn03618_c0;FORWARD_FLUX;c;0;0
rxn03618_c0;REVERSE_FLUX;c;0;0
rxn12639_c0;FORWARD_FLUX;c;0;0
rxn12639_c0;REVERSE_FLUX;c;0;0
rxn01000_c0;FLUX;c;0.000798244;0.00798244
rxn01462_c0;FORWARD_FLUX;c;0;0
rxn01462_c0;REVERSE_FLUX;c;0;0
rxn12643_c0;FLUX;c;0;0
rxn03484_c0;FORWARD_FLUX;c;0;0
rxn03484_c0;REVERSE_FLUX;c;0;0
rxn02334_c0;FORWARD_FLUX;c;0;0
rxn02334_c0;REVERSE_FLUX;c;0;0
rxn00321_c0;FORWARD_FLUX;c;0;0
rxn00321_c0;REVERSE_FLUX;c;0;0
rxn00786_c0;FORWARD_FLUX;c;0;0
rxn00786_c0;REVERSE_FLUX;c;0.0050153;0.168652
rxn01572_c0;FORWARD_FLUX;c;0;0
rxn01572_c0;REVERSE_FLUX;c;0;0
rxn14054_c0;FORWARD_FLUX;c;0;0
rxn14054_c0;REVERSE_FLUX;c;0;0
rxn03012_c0;FORWARD_FLUX;c;0;0
rxn03012_c0;REVERSE_FLUX;c;0.00160377;0.301604
rxn09197_c0;FORWARD_FLUX;c;0;0
rxn09197_c0;REVERSE_FLUX;c;0;0
rxn01100_c0;FORWARD_FLUX;c;0.013131;0.340404
rxn01100_c0;REVERSE_FLUX;c;0;0
rxn00838_c0;FLUX;c;0.00201964;0.0201964
rxn00102_c0;FORWARD_FLUX;c;0;0
rxn00102_c0;REVERSE_FLUX;c;0.00161017;999.932
rxn03085_c0;FORWARD_FLUX;c;0;0
rxn03085_c0;REVERSE_FLUX;c;0.055829;1.20756
rxn12634_c0;FORWARD_FLUX;c;0;0
rxn12634_c0;REVERSE_FLUX;c;0;0
rxn01255_c0;FLUX;c;0.00176148;0.165398
rxn05872_c0;FORWARD_FLUX;c;0;0
rxn05872_c0;REVERSE_FLUX;c;0;0
rxn04727_c0;FORWARD_FLUX;c;0;0
rxn04727_c0;REVERSE_FLUX;c;0;0
rxn00776_c0;FLUX;c;0;0
rxn05251_c0;FLUX;c;0;0
rxn03126_c0;FLUX;c;0;0
rxn14089_c0;FORWARD_FLUX;c;0;0
rxn14089_c0;REVERSE_FLUX;c;0;0
rxn00214_c0;FORWARD_FLUX;c;0;0
rxn00214_c0;REVERSE_FLUX;c;0;0
rxn01895_c0;REVERSE_FLUX;c;0;0
rxn01211_c0;FORWARD_FLUX;c;0;1000
rxn01211_c0;REVERSE_FLUX;c;0;999.996
rxn00527_c0;FORWARD_FLUX;c;0;0
rxn00527_c0;REVERSE_FLUX;c;0.000639409;0.00639409
rxn05193_c0;FLUX;c;0;0
rxn12848_c0;FLUX;c;0;0
rxn01316_c0;REVERSE_FLUX;c;0;0
rxn00966_c0;REVERSE_FLUX;c;1.59963e-05;0.000159963
rxn13782_c0;FLUX;c;0.00516598;0.0516598
rxn05119_c0;FLUX;c;0;0.000319926
rxn04270_c0;FORWARD_FLUX;c;0;0
rxn04270_c0;REVERSE_FLUX;c;0;0
rxn05430_c0;FORWARD_FLUX;c;0;0
rxn05430_c0;REVERSE_FLUX;c;0;0
rxn11838_c0;FORWARD_FLUX;c;0;0
rxn11838_c0;REVERSE_FLUX;c;0;0
rxn01917_c0;FORWARD_FLUX;c;0.00130642;0.362259
rxn01917_c0;REVERSE_FLUX;c;0;0
rxn10236_c0;FORWARD_FLUX;c;0;0
rxn10236_c0;REVERSE_FLUX;c;0;0
rxn00173_c0;FORWARD_FLUX;c;0;999.897
rxn00173_c0;REVERSE_FLUX;c;0;1000
rxn09205_c0;FLUX;c;0;0
rxn01991_c0;FORWARD_FLUX;c;0;0
rxn01991_c0;REVERSE_FLUX;c;0.00160377;0.301604
rxn05364_c0;FORWARD_FLUX;c;0.00044006;0.0044006
rxn05364_c0;REVERSE_FLUX;c;0;0
rxn09201_c0;FORWARD_FLUX;c;0;0
rxn09201_c0;REVERSE_FLUX;c;0;0
rxn03637_c0;FORWARD_FLUX;c;0;0
rxn03637_c0;REVERSE_FLUX;c;0;0
rxn00508_c0;FLUX;c;0;0
rxn10122_c0;FORWARD_FLUX;c;0;0
rxn10122_c0;REVERSE_FLUX;c;0.0692475;577.124
rxn05547_c0;FLUX;c;0;0
rxn00187_c0;FLUX;c;0.0698424;1000
rxn02431_c0;REVERSE_FLUX;c;0.055829;1.20756
rxn05734_c0;FORWARD_FLUX;c;0;0
rxn05734_c0;REVERSE_FLUX;c;0;0
rxn00006_c0;FLUX;c;0;0.603786
rxn05338_c0;FORWARD_FLUX;c;0;0
rxn05338_c0;REVERSE_FLUX;c;0;0
rxn03135_c0;REVERSE_FLUX;c;0.000409474;0.00409474
rxn08310_c0;FORWARD_FLUX;c;0;0
rxn08310_c0;REVERSE_FLUX;c;0;0
rxn00915_c0;REVERSE_FLUX;c;0;0
rxn02853_c0;FLUX;c;0;0
rxn01967_c0;FORWARD_FLUX;c;0;0
rxn01967_c0;REVERSE_FLUX;c;0;0
rxn10224_c0;FORWARD_FLUX;c;0;0
rxn10224_c0;REVERSE_FLUX;c;0;0
rxn05337_c0;FORWARD_FLUX;c;0;0
rxn05337_c0;REVERSE_FLUX;c;0;0
rxn01135_c0;FORWARD_FLUX;c;0;0
rxn01135_c0;REVERSE_FLUX;c;0;0
rxn00474_c0;FLUX;c;0;0.16388
rxn03147_c0;FLUX;c;0.00161017;0.0161017
rxn03843_c0;FLUX;c;0;0
